summary,product,platform,whatHappen,howHappen,shouldHappen,Status,Priority,user_id,developer_id,reviewer_id
Text not displayed properly,Coinhako,Website,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Pending for review,High,36,40,38
Page glitching out,Netflix,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,16,49,19
Cursor mismatch,Amazon,Desktop Application,The pocket animation does not play,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Should be able to access normally,Done,Low,34,9,43
User is able to save Pocket to itself,Lazada,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Reviews box not supposed to be whited out,Work in progress,High,32,37,42
Page glitching out,Coinhako,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Unassigned,Low,17,12,46
Cursor mismatch,Coinhako,Website,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Unassigned,Low,36,9,22
Page glitching out,Netflix,Website,Two Pocket-related context menu items appear (Save Link to Pocket,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,33,23,8
Features not working,Shopee,Desktop Webpage,The pocket animation does not play,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Features should load properly,Unassigned,High,3,15,43
Not loading,Shopback,Mobile Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Pending for review,High,32,11,31
Pictures not loading,Grab,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Unassigned,Low,33,23,25
Text not displayed properly,Grab,Mobile,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Unassigned,Low,33,15,14
Pictures not loading,Amazon,Desktop Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Should be able to access normally,Pending for review,High,16,26,38
Features not working,Coinhako,Mobile,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,29,1,8
Not loading,Interactive Brokers,Mobile,Two Pocket-related context menu items appear (Save Link to Pocket,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The text cursor and chars are partially out of the text field view,Done,High,33,26,21
Cursor mismatch,Netflix,Website,The TypeError: contentWindow is null error message is listed,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Done,Low,29,15,45
Text not displayed properly,Facebook,Desktop,The pocket animation does not play,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Should be able to access normally,Work in progress,Low,32,11,6
Unable to access,Interactive Brokers,Mobile Webpage,The text cursor and chars are always visible while typing a tag,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Done,High,29,40,42
Pictures not loading,Grab,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,10,40,6
Cursor mismatch,Binance,Desktop Application,The pocket animation does not play,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Pending for review,High,3,28,8
Text not displayed properly,Binance,Desktop,Save Page to Pocket) where there should be none,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Work in progress,High,10,11,45
Cursor mismatch,Poems,Mobile,Page cannot load despite refreshing multiple times,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Unassigned,High,2,50,43
Unable to access,Poems,Desktop,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Pending for review,Low,29,15,31
Unable to leave reviews,Shopee,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,2,1,22
Text not displayed properly,Facebook,Mobile Webpage,Box is not whited out but unable to type anything inside,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Work in progress,High,34,26,21
Text not displayed properly,Shopback,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Done,Low,3,40,48
Unable to access,Amazon,Desktop Application,Save Page to Pocket) where there should be none,1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Work in progress,High,39,28,22
Page glitching out,Gmail,Desktop,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Features should load properly,Done,High,17,18,38
Cursor mismatch,Netflix,Website,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Done,Low,33,23,14
Unable to access,Interactive Brokers,Desktop,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Unassigned,High,36,11,6
Unable to access,Interactive Brokers,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Work in progress,High,33,50,43
Unable to leave reviews,Gmail,Mobile,The pocket animation does not play,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Work in progress,Low,33,1,27
Features not working,Interactive Brokers,Desktop,Page cannot load despite refreshing multiple times,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,3,9,8
Not loading,Grab,Desktop,The text cursor and chars are always visible while typing a tag,1.Login successfully 2.Unable to access,Features should load properly,Unassigned,High,33,15,21
Not loading,Gmail,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Done,Low,2,50,8
Page glitching out,Gmail,Website,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Pending for review,High,10,18,27
Text not displayed properly,Grab,Website,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Reviews box not supposed to be whited out,Work in progress,Low,2,18,5
Text not displayed properly,Grab,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Pending for review,High,16,18,21
User is able to save Pocket to itself,Yahoo,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Done,High,33,26,46
Pictures not loading,Poems,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Work in progress,Low,29,1,31
Text not displayed properly,Netflix,Desktop Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Done,Low,16,9,22
Cursor mismatch,Coinhako,Website,The pocket animation does not play,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Should be able to access normally,Done,High,17,18,46
Features not working,Coinhako,Mobile Application,The text cursor and chars are always visible while typing a tag,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Unassigned,Low,2,18,31
User is able to save Pocket to itself,Grab,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Unassigned,Low,47,26,27
Not loading,Grab,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,2,40,48
Cursor mismatch,Interactive Brokers,Website,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Unassigned,High,47,26,45
Text not displayed properly,Gmail,Website,Page cannot load despite refreshing multiple times,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The text cursor and chars are partially out of the text field view,Work in progress,Low,3,23,48
User is able to save Pocket to itself,Netflix,Mobile Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Done,High,29,11,5
Page glitching out,Shopback,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Features should load properly,Unassigned,High,2,18,6
User is able to save Pocket to itself,Shopback,Mobile Application,Save Page to Pocket) where there should be none,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Reviews box not supposed to be whited out,Unassigned,High,33,26,21
Features not working,Coinhako,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Work in progress,High,33,18,19
User is able to save Pocket to itself,Yahoo,Website,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,29,1,14
Cursor mismatch,Yahoo,Mobile Application,The TypeError: contentWindow is null error message is listed,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The text cursor and chars are partially out of the text field view,Pending for review,High,34,23,43
Unable to leave reviews,Netflix,Desktop Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,Features should load properly,Done,Low,39,15,6
Unable to access,Shopback,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Done,High,47,49,48
Pictures not loading,Interactive Brokers,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Reviews box not supposed to be whited out,Unassigned,Low,32,26,14
Unable to leave reviews,Coinhako,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,Should be able to access normally,Pending for review,High,33,12,21
Unable to access,Interactive Brokers,Desktop Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Work in progress,High,36,49,46
Features not working,Poems,Desktop Webpage,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Done,Low,16,1,42
Cursor mismatch,Interactive Brokers,Mobile,The pocket animation does not play,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Should be able to access normally,Unassigned,Low,29,15,25
Not loading,Poems,Desktop Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,32,37,42
Pictures not loading,Coinhako,Mobile Application,The text cursor and chars are always visible while typing a tag,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Should be able to access normally,Done,Low,47,37,46
Not loading,Coinhako,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,34,11,5
Text not displayed properly,Poems,Desktop Webpage,The text cursor and chars are always visible while typing a tag,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,29,40,48
Unable to access,Facebook,Mobile Application,Page cannot load despite refreshing multiple times,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Done,High,36,9,27
Not loading,Coinhako,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Done,High,47,23,27
Pictures not loading,Shopee,Website,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The text cursor and chars are partially out of the text field view,Done,High,32,50,31
Text not displayed properly,Gmail,Desktop,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Pending for review,Low,29,37,42
Unable to leave reviews,Gmail,Desktop Webpage,The pocket animation does not play,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Done,High,39,15,21
Unable to access,Gmail,Mobile,Box is not whited out but unable to type anything inside,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,36,15,5
Text not displayed properly,Binance,Desktop,The pocket animation does not play,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Pending for review,Low,2,9,22
Not loading,Facebook,Desktop Webpage,Box is not whited out but unable to type anything inside,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Work in progress,Low,36,23,21
Features not working,Yahoo,Website,Page cannot load despite refreshing multiple times,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Should be able to access normally,Pending for review,Low,32,1,31
Text not displayed properly,Coinhako,Desktop Application,The text cursor and chars are always visible while typing a tag,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Done,High,34,50,8
Text not displayed properly,Google,Mobile Application,Box is not whited out but unable to type anything inside,1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Unassigned,Low,32,15,45
Features not working,Amazon,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,32,49,22
User is able to save Pocket to itself,Coinhako,Desktop Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Should be able to access normally,Pending for review,Low,3,49,45
Not loading,Google,Mobile Webpage,Box is not whited out but unable to type anything inside,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,29,26,19
Text not displayed properly,Shopback,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Unassigned,Low,2,49,6
Page glitching out,Coinhako,Mobile Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Should be able to access normally,Pending for review,Low,39,40,6
User is able to save Pocket to itself,Netflix,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Features should load properly,Work in progress,Low,47,50,48
Features not working,Facebook,Mobile,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Done,High,36,40,8
User is able to save Pocket to itself,Facebook,Mobile,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Done,Low,17,49,48
Pictures not loading,Shopee,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Pending for review,Low,47,18,14
Features not working,Gmail,Mobile,Box is not whited out but unable to type anything inside,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,32,50,21
Unable to access,Shopback,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Should be able to access normally,Unassigned,High,10,11,38
Pictures not loading,Shopback,Desktop Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Press enter and save 2.Press down arrow and observe the elements,Should be able to access normally,Unassigned,High,10,37,21
Features not working,Coinhako,Mobile Application,The text cursor and chars are always visible while typing a tag,1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Done,Low,2,50,42
Cursor mismatch,Facebook,Mobile Application,The TypeError: contentWindow is null error message is listed,1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Unassigned,Low,2,1,14
User is able to save Pocket to itself,Binance,Desktop Application,Save Page to Pocket) where there should be none,1.Login successfully 2.Unable to access,Features should load properly,Pending for review,Low,2,11,25
Unable to leave reviews,Shopback,Desktop Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Unassigned,Low,34,26,19
Unable to leave reviews,Gmail,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Features should load properly,Pending for review,Low,34,28,27
Pictures not loading,Netflix,Desktop,Save Page to Pocket) where there should be none,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Done,Low,34,9,27
Unable to access,Gmail,Mobile Webpage,The pocket animation does not play,1.Login successfully 2.Unable to access,Features should load properly,Pending for review,High,2,49,43
Page glitching out,Poems,Mobile Application,The pocket animation does not play,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Unassigned,Low,36,50,6
Features not working,Google,Website,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,32,40,19
Cursor mismatch,Facebook,Desktop Application,The pocket animation does not play,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The text cursor and chars are partially out of the text field view,Done,Low,39,26,27
Features not working,Amazon,Mobile Application,Save Page to Pocket) where there should be none,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,2,49,21
Unable to leave reviews,Shopback,Desktop,The text cursor and chars are always visible while typing a tag,1.Login successfully 2.Unable to access,Should be able to access normally,Work in progress,Low,3,9,25
Page glitching out,Binance,Website,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Pending for review,Low,17,40,21
Pictures not loading,Shopee,Desktop Application,Box is not whited out but unable to type anything inside,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,47,1,22
Features not working,Yahoo,Website,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Unassigned,Low,2,11,43
Pictures not loading,Grab,Desktop,The text cursor and chars are always visible while typing a tag,1.Press enter and save 2.Press down arrow and observe the elements,Should be able to access normally,Pending for review,High,33,40,42
Cursor mismatch,Yahoo,Mobile Webpage,The text cursor and chars are always visible while typing a tag,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Unassigned,High,39,11,14
Unable to leave reviews,Google,Website,Page cannot load despite refreshing multiple times,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The text cursor and chars are partially out of the text field view,Unassigned,High,39,23,22
User is able to save Pocket to itself,Grab,Desktop Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,39,23,19
Text not displayed properly,Google,Mobile Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Press enter and save 2.Press down arrow and observe the elements,Should be able to access normally,Pending for review,Low,3,15,38
Page glitching out,Coinhako,Mobile Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Work in progress,Low,33,12,48
Unable to leave reviews,Binance,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The text cursor and chars are partially out of the text field view,Work in progress,High,16,50,42
Not loading,Poems,Desktop Application,Page cannot load despite refreshing multiple times,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,16,1,6
Unable to leave reviews,Poems,Website,The text cursor and chars are always visible while typing a tag,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,29,12,6
User is able to save Pocket to itself,Google,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Unassigned,Low,16,15,8
Page glitching out,Facebook,Mobile Webpage,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Work in progress,High,32,26,19
Text not displayed properly,Facebook,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The text cursor and chars are partially out of the text field view,Work in progress,High,47,37,22
Not loading,Google,Desktop Application,Box is not whited out but unable to type anything inside,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Unassigned,Low,36,26,14
Unable to leave reviews,Yahoo,Desktop Webpage,The pocket animation does not play,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Pending for review,High,10,49,25
Pictures not loading,Facebook,Mobile,Save Page to Pocket) where there should be none,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The text cursor and chars are partially out of the text field view,Done,Low,36,11,38
Features not working,Grab,Mobile Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,16,40,5
Cursor mismatch,Facebook,Mobile Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Should be able to access normally,Work in progress,High,32,49,14
Pictures not loading,Yahoo,Desktop Webpage,Page cannot load despite refreshing multiple times,1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Pending for review,Low,2,23,42
Unable to access,Facebook,Mobile Webpage,Box is not whited out but unable to type anything inside,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Pending for review,Low,39,1,5
Text not displayed properly,Shopback,Desktop Webpage,The pocket animation does not play,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Pending for review,High,17,18,6
Pictures not loading,Yahoo,Mobile Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Unassigned,Low,17,11,46
Cursor mismatch,Netflix,Desktop,Box is not whited out but unable to type anything inside,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Unassigned,Low,2,11,46
Features not working,Google,Mobile,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The text cursor and chars are partially out of the text field view,Work in progress,High,47,28,45
Features not working,Shopback,Desktop,The text cursor and chars are always visible while typing a tag,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Features should load properly,Unassigned,High,16,1,42
Unable to leave reviews,Grab,Desktop Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Reviews box not supposed to be whited out,Unassigned,High,47,37,38
Pictures not loading,Coinhako,Desktop Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Unassigned,Low,29,18,46
Page glitching out,Google,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Press enter and save 2.Press down arrow and observe the elements,Should be able to access normally,Unassigned,Low,32,50,22
Not loading,Binance,Desktop Application,The text cursor and chars are always visible while typing a tag,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,16,23,8
Page glitching out,Facebook,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Features should load properly,Work in progress,High,3,50,22
Pictures not loading,Shopee,Desktop,Two Pocket-related context menu items appear (Save Link to Pocket,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The text cursor and chars are partially out of the text field view,Done,High,16,12,27
User is able to save Pocket to itself,Netflix,Website,The text cursor and chars are always visible while typing a tag,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Features should load properly,Pending for review,Low,17,1,21
Pictures not loading,Shopee,Desktop Application,The text cursor and chars are always visible while typing a tag,1.Login successfully 2.Unable to access,Features should load properly,Unassigned,High,32,28,21
User is able to save Pocket to itself,Facebook,Mobile Application,Page cannot load despite refreshing multiple times,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Pending for review,Low,2,12,27
Unable to access,Google,Desktop,The TypeError: contentWindow is null error message is listed,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The text cursor and chars are partially out of the text field view,Work in progress,High,39,12,14
Text not displayed properly,Poems,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,33,9,31
Unable to access,Yahoo,Desktop Webpage,Page cannot load despite refreshing multiple times,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,33,37,21
